EPS Prediction,Closing Price Predicted,Actual stock price
9.6317592,919.67,921.812134
9.6317592,931.62,932.015442
9.6317592,939.16,938.751587
12.2241955,1339.67,1347.427734
12.2241955,1348.04,1338.958008
12.2241955,1322.02,1314.88623
13.7576485,1219.61,1214.537354
13.7576485,1222.72,1226.028442
13.7576485,1250.39,1252.923584
4.38911135,519.13,509.767914
4.38911135,501.49,501.917328
4.38911135,505.19,505.16156
21.3756315,2381.94,2398.550049
21.3756315,2384.83,2378.300049
21.3756315,2340.09,2325.550049
8.699729,1342.3,1303.791382
8.699729,1328.1,1330.240601
8.699729,1325.92,1327.120239
5.6461265,473.94,472.322845
5.6461265,472.82,473.635406
5.6461265,474.86,475.319458
5.6461265,473.65,472.917206
5.6461265,474.51,473.041046
4.3713475,391.79,390.250824
4.3713475,388.2,386.436951
4.3713475,391.07,397.234619
4.3713475,393.25,392.281555
4.3713475,388.39,388.121002
16.9251175,2278.21,2267.100098
16.9251175,2286.03,2294.399902
16.9251175,2380.67,2388.5
16.9251175,2432.12,2425.600098
16.9251175,2434.68,2440.899902
4.9501753,496.72,494.190552
4.9501753,493.38,492.704651
4.9501753,491.98,492.258881
4.9501753,495.7,497.880585
4.9501753,495.8,494.884003
18.328121,1956.04,1954.900024
18.328121,1957.98,1958.150024
18.328121,1965.05,1964.050049
18.328121,1951.94,1946.75
18.328121,1957.01,1958.199951
